dimensionless dimensionless
m	length
m^2	area
m^3	volume
m/s	speed
m/s^2	acceleration
kg	mass
s	time
1/s	frequency
amp	current
degK	temperature
mol	amount
candela	luminosity
N	force
pa	pressure
erg	energy
watt	power
poise	viscosity
coulomb	electric_charge
volt	electric_potential
ohm	resistance
siemens	conductance
farad	capacitance
weber	magnetic_flux
tesla	magnetic_flux_density
henry	inductance
oersted	magnetic_field
molar	concentration
sievert	absorbed_dose
ml/min	flow
mole/s	chemical_flow
kg/L	density
pa/L	elastance
pa*s^2/L	linear_inductance
