"time"	"Cin"	"Cout"	
0	1	0	
.25	.7788	0	
.5	.6065	0	
.75	.4724	0	
1	.3679	0	
1.25	.2865	0	
1.5	.2231	0	
1.75	.1738	.1234	
2	.1353	.1487	
2.25	.1054	.137	
2.5	.0821	.1224	
2.75	.0639	.1074	
3	.0498	.0934	
3.25	.0388	.0808	
3.5	.0302	.0701	
3.75	.0235	.061	
4	.0183	.0534	
4.25	.0143	.0472	
4.5	.0111	.0421	
4.75	.0087	.038	
5	.0067	.0346	
5.25	.0052	.0319	
5.5	.0041	.0296	
5.75	.0032	.0278	
6	.0025	.0263	
6.25	.0019	.0251	
6.5	.0015	.024	
6.75	.0012	.0231	
7	9.119E-4	.0224	
7.25	7.102E-4	.0217	
7.5	5.531E-4	.0211	
7.75	4.307E-4	.0206	
8	3.355E-4	.0202	
8.25	2.613E-4	.0197	
8.5	2.035E-4	.0193	
8.75	1.585E-4	.019	
9	1.234E-4	.0186	
9.25	9.611E-5	.0183	
9.5	7.485E-5	.018	
9.75	5.829E-5	.0177	
10	4.54E-5	.0174	
10.25	3.536E-5	.0172	
10.5	2.754E-5	.0169	
10.75	2.145E-5	.0167	
11	1.67E-5	.0164	
11.25	1.301E-5	.0162	
11.5	1.013E-5	.0159	
11.75	7.889E-6	.0157	
12	6.144E-6	.0155	
12.25	4.785E-6	.0152	
12.5	3.727E-6	.015	
12.75	2.902E-6	.0148	
13	2.26E-6	.0146	
13.25	1.76E-6	.0144	
13.5	1.371E-6	.0142	
13.75	1.068E-6	.014	
14	0	.0138	
14.25	0	.0136	
14.5	0	.0135	
14.75	0	.0133	
15	0	.0131	
15.25	0	.0129	
15.5	0	.0127	
15.75	0	.0126	
16	0	.0124	
16.25	0	.0123	
16.5	0	.0121	
16.75	0	.0119	
17	0	.0118	
17.25	0	.0116	
17.5	0	.0115	
17.75	0	.0114	
18	0	.0112	
18.25	0	.0111	
18.5	0	.0109	
18.75	0	.0108	
19	0	.0107	
19.25	0	.0105	
19.5	0	.0104	
19.75	0	.0103	
20	0	.0102	
