"segment"	"Fp"	"spill"	"RMS_error"	
1	8.1893799	.38085327	32.44568058	
2	14.87825067	.13912295	86.19429881	
3	13.54252759	.07836579	1.3567936E2	
4	5.375	.25	51.47431731	
5	10.10462356	.19325038	30.39346856	
6	8.9273391	.33518726	35.46655674	
7	7.9439098	.20185928	22.45349913	
8	1.480409E1	.178677	73.30563285	
9	14.56415871	.14377235	1.7325862E2	
10	15.24806488	.06833623	26.65560786	
11	13.61508913	.0761117	31.03686279	
12	10.52149546	.19250973	16.30972403	
13	10.34567375	.11148147	20.63842884	
14	13.20632591	.13639803	60.20928298	
15	7.075	.25	45.08437568	
16	10.69668742	.13867454	16.70435604	
17	11.02512073	.14414724	15.37647814	
