"time"	"Cin_vascular"	"Cout_v"	
0	1	0	
.1	.9048	0	
.2	.8187	0	
.3	.7408	0	
.4	.6703	0	
.5	.6065	0	
.6	.5488	.0026	
.7	.4966	.0134	
.8	.4493	.0312	
.9	.4066	.0584	
1	.3679	.0914	
1.1	.3329	.1258	
1.2	.3012	.195	
1.3	.2725	.2105	
1.4	.2466	.3049	
1.5	.2231	.2876	
1.6	.2019	.4033	
1.7	.1827	.3932	
1.8	.1653	.3868	
1.9	.1496	.4724	
2	.1353	.4413	
2.1	.1225	.3913	
2.2	.1108	.4629	
2.3	.1003	.4455	
2.4	.0907	.4042	
2.5	.0821	.3596	
2.6	.0743	.3689	
2.7	.0672	.3696	
2.8	.0608	.3392	
2.9	.055	.3126	
3	.0498	.2715	
3.1	.045	.2562	
3.2	.0408	.2548	
3.3	.0369	.2475	
3.4	.0334	.219	
3.5	.0302	.196	
3.6	.0273	.1844	
3.7	.0247	.1641	
3.8	.0224	.1409	
3.9	.0202	.1454	
4	.0183	.1412	
4.1	.0166	.1192	
4.2	.015	.1105	
4.3	.0136	.1041	
4.4	.0123	.0964	
4.5	.0111	.0815	
4.6	.0101	.0719	
4.7	.0091	.0686	
4.8	.0082	.0632	
4.9	.0074	.0631	
5	.0067	.0554	
5.1	.0061	.0488	
5.2	.0055	.0471	
5.3	.005	.0427	
5.4	.0045	.0396	
5.5	.0041	.0363	
5.6	.0037	.0299	
5.7	.0033	.0265	
5.8	.003	.0258	
5.9	.0027	.0237	
6	.0025	.0209	
6.1	.0022	.02	
6.2	.002	.0193	
6.3	.0018	.0173	
6.4	.0017	.0148	
6.5	.0015	.0144	
6.6	.0014	.0137	
6.7	.0012	.0123	
6.8	.0011	.0113	
6.9	.001	.0103	
7	9.119E-4	.0088	
7.1	8.251E-4	.0078	
7.2	7.466E-4	.0072	
7.3	6.755E-4	.0061	
7.4	6.113E-4	.006	
7.5	5.531E-4	.0055	
7.6	5.005E-4	.0051	
