"time"	"Cin1"	"chead"	
0	1	0	
.25	.7788	0	
.5	.6065	0	
.75	.4724	0	
1	.3679	0	
1.25	.2865	0	
1.5	.2231	0	
1.75	.1738	0	
2	.1353	0	
2.25	.1054	0	
2.5	.0821	0	
2.75	.0639	0	
3	.0498	0	
3.25	.0388	0	
3.5	.0302	1.047E-6	
3.75	.0235	1.822E-6	
4	.0183	2.95E-6	
4.25	.0143	4.515E-6	
4.5	.0111	6.598E-6	
4.75	.0087	9.284E-6	
5	.0067	1.265E-5	
5.25	.0052	1.679E-5	
5.5	.0041	2.177E-5	
5.75	.0032	2.767E-5	
6	.0025	3.456E-5	
6.25	.0019	4.251E-5	
6.5	.0015	5.159E-5	
6.75	.0012	6.186E-5	
7	9.119E-4	7.336E-5	
7.25	7.102E-4	8.616E-5	
7.5	5.531E-4	1.003E-4	
7.75	4.307E-4	1.158E-4	
8	3.355E-4	1.328E-4	
8.25	2.613E-4	1.512E-4	
8.5	2.035E-4	1.712E-4	
8.75	1.585E-4	1.926E-4	
9	1.234E-4	2.164E-4	
9.25	9.611E-5	2.411E-4	
9.5	7.485E-5	2.674E-4	
9.75	5.829E-5	2.953E-4	
10	4.54E-5	3.248E-4	
10.25	3.536E-5	3.56E-4	
10.5	2.754E-5	3.888E-4	
10.75	2.145E-5	4.237E-4	
11	1.67E-5	4.601E-4	
11.25	1.301E-5	4.98E-4	
11.5	1.013E-5	5.375E-4	
11.75	7.889E-6	5.786E-4	
12	6.144E-6	6.213E-4	
12.25	4.785E-6	6.657E-4	
12.5	3.727E-6	7.117E-4	
12.75	2.902E-6	7.592E-4	
13	2.26E-6	8.083E-4	
13.25	1.76E-6	8.59E-4	
13.5	1.371E-6	9.112E-4	
13.75	1.068E-6	9.649E-4	
14	0	.001	
14.25	0	.0011	
14.5	0	.0011	
14.75	0	.0012	
15	0	.0013	
15.25	0	.0013	
15.5	0	.0014	
15.75	0	.0014	
16	0	.0015	
16.25	0	.0016	
16.5	0	.0016	
16.75	0	.0017	
17	0	.0018	
17.25	0	.0019	
17.5	0	.0019	
17.75	0	.002	
18	0	.0021	
18.25	0	.0022	
18.5	0	.0022	
18.75	0	.0023	
19	0	.0024	
19.25	0	.0025	
19.5	0	.0026	
19.75	0	.0026	
20	0	.0027	
