"time"	"Cin"	"Cout"	
0	1	0	
.25	.7788	0	
.5	.6065	0	
.75	.4724	0	
1	.3679	0	
1.25	.2865	0	
1.5	.2231	0	
1.75	.1738	.2969	
2	.1353	.3143	
2.25	.1054	.2551	
2.5	.0821	.2088	
2.75	.0639	.1725	
3	.0498	.144	
3.25	.0388	.1217	
3.5	.0302	.1041	
3.75	.0235	.0903	
4	.0183	.0794	
4.25	.0143	.0707	
4.5	.0111	.0639	
4.75	.0087	.0584	
5	.0067	.054	
5.25	.0052	.0505	
5.5	.0041	.0476	
5.75	.0032	.0452	
6	.0025	.0432	
6.25	.0019	.0416	
6.5	.0015	.0402	
6.75	.0012	.039	
7	9.119E-4	.0379	
7.25	7.102E-4	.037	
7.5	5.531E-4	.0361	
7.75	4.307E-4	.0354	
8	3.355E-4	.0346	
8.25	2.613E-4	.034	
8.5	2.035E-4	.0334	
8.75	1.585E-4	.0328	
9	1.234E-4	.0322	
9.25	9.611E-5	.0317	
9.5	7.485E-5	.0311	
9.75	5.829E-5	.0306	
10	4.54E-5	.0301	
10.25	3.536E-5	.0297	
10.5	2.754E-5	.0292	
10.75	2.145E-5	.0287	
11	1.67E-5	.0283	
11.25	1.301E-5	.0278	
11.5	1.013E-5	.0274	
11.75	7.889E-6	.027	
12	6.144E-6	.0265	
12.25	4.785E-6	.0261	
12.5	3.727E-6	.0257	
12.75	2.902E-6	.0253	
13	2.26E-6	.0249	
13.25	1.76E-6	.0245	
13.5	1.371E-6	.0241	
13.75	1.068E-6	.0237	
14	0	.0233	
14.25	0	.023	
14.5	0	.0226	
14.75	0	.0222	
15	0	.0219	
15.25	0	.0215	
15.5	0	.0212	
15.75	0	.0208	
16	0	.0205	
16.25	0	.0202	
16.5	0	.0198	
16.75	0	.0195	
17	0	.0192	
17.25	0	.0189	
17.5	0	.0186	
17.75	0	.0183	
18	0	.0179	
18.25	0	.0176	
18.5	0	.0174	
18.75	0	.0171	
19	0	.0168	
19.25	0	.0165	
19.5	0	.0162	
19.75	0	.016	
20	0	.0157	
