"time"	"Cin_v"	"Cout_v"	
"sec"	"dimensionless"	"Molar"	
0	1	0	
.1	.9048	0	
.2	.8187	0	
.3	.7408	0	
.4	.6703	0	
.5	.6065	0	
.6	.5488	0	
.7	.4966	0	
.8	.4493	0	
.9	.4066	0	
1	.3679	0	
1.1	.3329	0	
1.2	.3012	0	
1.3	.2725	0	
1.4	.2466	0	
1.5	.2231	0	
1.6	.2019	0	
1.7	.1827	0	
1.8	.1653	0	
1.9	.1496	0	
2	.1353	0	
2.1	.1225	0	
2.2	.1108	0	
2.3	.1003	0	
2.4	.0907	0	
2.5	.0821	0	
2.6	.0743	0	
2.7	.0672	0	
2.8	.0608	0	
2.9	.055	0	
3	.0498	0	
3.1	.045	0	
3.2	.0408	0	
3.3	.0369	0	
3.4	.0334	0	
3.5	.0302	0	
3.6	.0273	0	
3.7	.0247	0	
3.8	.0224	0	
3.9	.0202	0	
4	.0183	0	
4.1	.0166	3.768E-6	
4.2	.015	.7902	
4.3	.0136	.7902	
4.4	.0123	.7902	
4.5	.0111	.7902	
4.6	.0101	.7902	
4.7	.0091	.7902	
4.8	.0082	.4337	
4.9	.0074	.4337	
5	.0067	.4337	
5.1	.0061	.4337	
5.2	.0055	.4337	
5.3	.005	.4337	
5.4	.0045	.238	
5.5	.0041	.238	
5.6	.0037	.238	
5.7	.0033	.238	
5.8	.003	.238	
5.9	.0027	.238	
6	.0025	.1306	
6.1	.0022	.1306	
6.2	.002	.1306	
6.3	.0018	.1306	
6.4	.0017	.1306	
6.5	.0015	.1306	
6.6	.0014	.0717	
6.7	.0012	.0717	
6.8	.0011	.0717	
6.9	.001	.0717	
7	9.119E-4	.0717	
7.1	8.251E-4	.0717	
7.2	7.466E-4	.0393	
7.3	6.755E-4	.0393	
7.4	6.113E-4	.0393	
7.5	5.531E-4	.0393	
7.6	5.005E-4	.0393	
7.7	4.528E-4	.0393	
7.8	4.097E-4	.0216	
7.9	3.707E-4	.0216	
8	3.355E-4	.0216	
8.1	3.035E-4	.0216	
8.2	2.747E-4	.0216	
8.3	2.485E-4	.0216	
8.4	2.249E-4	.0118	
8.5	2.035E-4	.0118	
8.6	1.841E-4	.0118	
8.7	1.666E-4	.0118	
8.8	1.507E-4	.0118	
8.9	1.364E-4	.0118	
9	1.234E-4	.0065	
9.1	1.117E-4	.0065	
9.2	1.01E-4	.0065	
9.3	9.142E-5	.0065	
9.4	8.272E-5	.0065	
9.5	7.485E-5	.0065	
9.6	6.773E-5	.0036	
9.7	6.128E-5	.0036	
9.8	5.545E-5	.0036	
9.9	5.017E-5	.0036	
10	4.54E-5	.0036	
10.1	4.108E-5	.0036	
10.2	3.717E-5	.002	
10.3	3.363E-5	.002	
10.4	3.043E-5	.002	
10.5	2.754E-5	.002	
10.6	2.492E-5	.002	
10.7	2.254E-5	.002	
10.8	2.04E-5	.0011	
10.9	1.846E-5	.0011	
11	1.67E-5	.0011	
11.1	1.511E-5	.0011	
11.2	1.367E-5	.0011	
11.3	1.237E-5	.0011	
11.4	1.12E-5	5.9E-4	
11.5	1.013E-5	5.9E-4	
11.6	9.166E-6	5.9E-4	
11.7	8.294E-6	5.9E-4	
11.8	7.505E-6	5.9E-4	
11.9	6.79E-6	5.9E-4	
12	6.144E-6	3.238E-4	
12.1	5.56E-6	3.238E-4	
12.2	5.03E-6	3.238E-4	
12.3	4.552E-6	3.238E-4	
12.4	4.119E-6	3.238E-4	
12.5	3.727E-6	3.238E-4	
12.6	3.372E-6	1.777E-4	
12.7	3.051E-6	1.777E-4	
12.8	2.761E-6	1.777E-4	
12.9	2.498E-6	1.777E-4	
13	2.26E-6	1.777E-4	
13.1	2.045E-6	1.777E-4	
13.2	1.851E-6	9.752E-5	
13.3	1.674E-6	9.752E-5	
13.4	1.515E-6	9.752E-5	
13.5	1.371E-6	9.752E-5	
13.6	1.24E-6	9.752E-5	
13.7	1.122E-6	9.752E-5	
13.8	1.016E-6	5.352E-5	
13.9	0	5.352E-5	
14	0	5.352E-5	
14.1	0	5.352E-5	
14.2	0	5.352E-5	
14.3	0	5.352E-5	
14.4	0	2.937E-5	
14.5	0	2.937E-5	
14.6	0	2.937E-5	
14.7	0	2.937E-5	
14.8	0	2.937E-5	
14.9	0	2.937E-5	
15	0	1.612E-5	
15.1	0	1.612E-5	
