       y           u(y,y)     
                              
      -1              1       
     -0.5             1       
       0              1       
      .5             1.5      
       1              2       
      1.5             3       
       2              4       
      2.5            4.5      
       3              5       
      3.5            5.5      
       4              6       
      4.5            6.5      
       5              7       
      5.5            7.5      
       6              8       
      6.5             8       
       7              8       
      7.5             8       
       8              8       

