Monte-Carlo Report

Configuration:
    # optimizations:  50
    random seed:      1
    distribution:     gaussian
    magnitude:        .1
    add method:       proportional

Optimizer Tuning Parameters:
    Algorithm       sensop
    Max # runs      50
    Min RMS error   0.0
    Min par step    0.0
    Max static iter 0
    Min gradient    0.0

Parameters to Vary:
   Parameter        Start           Min            Max      
fgen_1.LagNorma   .96612102          .5             2       
       F           1.01986           .5             2       

Data to Match:
   Curve        Par/Expr         Point Wgts     Curve Wgt   
  NoisyC          Cout               1              1       

Parameter statistics:
       parameter           mean         sd     
 fgen_1.LagNormal.area     .9679       .0232   
           F               1.017       .0453   

Normalized Covariance Matrix:
                        fgen_1.LagNormal.area            F           
 fgen_1.LagNormal.area            1                   -0.1687        
           F                   -0.1687                   1           

Parameter estimates:
  opt#  fgen_1.LagNo      F     
    1       .9584       1.067   
    2       .9643       1.041   
    3       .9436       1.057   
    4       .9794       1.026   
    5       .9935       .9565   
    6       .948        1.016   
    7       .9578       .9671   
    8       .9601       .9955   
    9       .9757       1.015   
   10       .9716       1.057   
   11       1.006       .9835   
   12       .995        1.019   
   13       .9603       .9953   
   14       .9717       1.023   
   15       .9248       1.085   
   16       .9811       .9731   
   17       .9726       .9309   
   18       .9836       .9674   
   19       .9452       1.035   
   20       .9235       .9788   
   21       .9573       1.076   
   22       .946        1.011   
   23       .9712       1.064   
   24       1.015       .9857   
   25       .9725       .969    
   26       .967        1.003   
   27       .975        1.089   
   28       .967        1.029   
   29       .9914       1.01    
   30       1.008       1.042   
   31       1.003       1.036   
   32       .9705       .9445   
   33       .9449       1.039   
   34       .9677       1.11    
   35       .9591       .9691   
   36       .9847       1.061   
   37       .9743       1.053   
   38       .9964       .972    
   39       .933        1.085   
   40       .9824       .9723   
   41       .989        1.013   
   42       .9361       .9335   
   43       .9965       .9734   
   44       .9502       1.102   
   45       .9228       1.058   
   46       .9889       1.04    
   47       .9729       1.063   
   48       .9726       1.013   
   49       .9387       .9989   
   50       .9249       .9632   


