"t"	"y1"	"y2"	
0	2	-0.66	
.002	1.999	-0.6674	
.004	1.997	-0.6682	
.006	1.996	-0.6689	
.008	1.995	-0.6697	
.01	1.993	-0.6704	
.012	1.992	-0.6712	
.014	1.991	-0.6719	
.016	1.989	-0.6727	
.018	1.988	-0.6734	
.02	1.987	-0.6742	
.022	1.985	-0.675	
.024	1.984	-0.6758	
.026	1.983	-0.6765	
.028	1.981	-0.6773	
.03	1.98	-0.6781	
.032	1.978	-0.6789	
.034	1.977	-0.6797	
.036	1.976	-0.6804	
.038	1.974	-0.6812	
.04	1.973	-0.682	
.042	1.972	-0.6828	
.044	1.97	-0.6836	
.046	1.969	-0.6844	
.048	1.968	-0.6853	
.05	1.966	-0.6861	
.052	1.965	-0.6869	
.054	1.963	-0.6877	
.056	1.962	-0.6885	
.058	1.961	-0.6893	
.06	1.959	-0.6902	
.062	1.958	-0.691	
.064	1.957	-0.6918	
.066	1.955	-0.6927	
.068	1.954	-0.6935	
.07	1.952	-0.6944	
.072	1.951	-0.6952	
.074	1.95	-0.696	
.076	1.948	-0.6969	
.078	1.947	-0.6978	
.08	1.945	-0.6986	
.082	1.944	-0.6995	
.084	1.943	-0.7004	
.086	1.941	-0.7012	
.088	1.94	-0.7021	
.09	1.938	-0.703	
.092	1.937	-0.7039	
.094	1.936	-0.7047	
.096	1.934	-0.7056	
.098	1.933	-0.7065	
.1	1.931	-0.7074	
.102	1.93	-0.7083	
.104	1.929	-0.7092	
.106	1.927	-0.7101	
.108	1.926	-0.711	
.11	1.924	-0.712	
.112	1.923	-0.7129	
.114	1.921	-0.7138	
.116	1.92	-0.7147	
.118	1.919	-0.7157	
.12	1.917	-0.7166	
.122	1.916	-0.7175	
.124	1.914	-0.7185	
.126	1.913	-0.7194	
.128	1.911	-0.7204	
.13	1.91	-0.7213	
.132	1.908	-0.7223	
.134	1.907	-0.7232	
.136	1.906	-0.7242	
.138	1.904	-0.7252	
.14	1.903	-0.7261	
.142	1.901	-0.7271	
.144	1.9	-0.7281	
.146	1.898	-0.7291	
.148	1.897	-0.7301	
.15	1.895	-0.7311	
.152	1.894	-0.7321	
.154	1.892	-0.7331	
.156	1.891	-0.7341	
.158	1.89	-0.7351	
.16	1.888	-0.7361	
.162	1.887	-0.7372	
.164	1.885	-0.7382	
.166	1.884	-0.7392	
.168	1.882	-0.7403	
.17	1.881	-0.7413	
.172	1.879	-0.7424	
.174	1.878	-0.7434	
.176	1.876	-0.7445	
.178	1.875	-0.7455	
.18	1.873	-0.7466	
.182	1.872	-0.7477	
.184	1.87	-0.7487	
.186	1.869	-0.7498	
.188	1.867	-0.7509	
.19	1.866	-0.752	
.192	1.864	-0.7531	
.194	1.863	-0.7542	
.196	1.861	-0.7553	
.198	1.86	-0.7564	
.2	1.858	-0.7575	
.202	1.857	-0.7587	
.204	1.855	-0.7598	
.206	1.854	-0.7609	
.208	1.852	-0.7621	
.21	1.851	-0.7632	
.212	1.849	-0.7644	
.214	1.848	-0.7655	
.216	1.846	-0.7667	
.218	1.844	-0.7679	
.22	1.843	-0.769	
.222	1.841	-0.7702	
.224	1.84	-0.7714	
.226	1.838	-0.7726	
.228	1.837	-0.7738	
.23	1.835	-0.775	
.232	1.834	-0.7762	
.234	1.832	-0.7774	
.236	1.831	-0.7786	
.238	1.829	-0.7799	
.24	1.827	-0.7811	
.242	1.826	-0.7824	
.244	1.824	-0.7836	
.246	1.823	-0.7849	
.248	1.821	-0.7861	
.25	1.82	-0.7874	
.252	1.818	-0.7887	
.254	1.816	-0.7899	
.256	1.815	-0.7912	
.258	1.813	-0.7925	
.26	1.812	-0.7938	
.262	1.81	-0.7951	
.264	1.809	-0.7964	
.266	1.807	-0.7978	
.268	1.805	-0.7991	
.27	1.804	-0.8004	
.272	1.802	-0.8018	
.274	1.801	-0.8031	
.276	1.799	-0.8045	
